date,bitcoin,
08/09/2011,219.1818524,
09/09/2011,199.2562294,
10/09/2011,268.9959097,
11/09/2011,189.293418,
12/09/2011,189.293418,
13/09/2011,189.293418,
14/09/2011,169.367795,
15/09/2011,169.367795,
16/09/2011,159.4049835,
17/09/2011,179.3306065,
18/09/2011,179.3306065,
19/09/2011,159.4049835,
20/09/2011,159.4049835,
21/09/2011,169.367795,
22/09/2011,159.4049835,
23/09/2011,109.5909262,
24/09/2011,119.5537377,
25/09/2011,179.3306065,
26/09/2011,159.4049835,
27/09/2011,119.5537377,
28/09/2011,139.4793606,
29/09/2011,139.4793606,
30/09/2011,129.5165491,
01/10/2011,119.5537377,
02/10/2011,99.62811472,
03/10/2011,119.5537377,
04/10/2011,169.367795,
05/10/2011,129.5165491,
06/10/2011,129.5165491,
07/10/2011,99.62811472,
08/10/2011,199.2562294,
09/10/2011,129.5165491,
10/10/2011,179.3306065,
11/10/2011,149.4421721,
12/10/2011,139.4793606,
13/10/2011,119.5537377,
14/10/2011,119.5537377,
15/10/2011,109.5909262,
16/10/2011,129.5165491,
17/10/2011,139.4793606,
18/10/2011,179.3306065,
19/10/2011,179.3306065,
20/10/2011,109.5909262,
21/10/2011,119.5537377,
22/10/2011,159.4049835,
23/10/2011,89.66530325,
24/10/2011,129.5165491,
25/10/2011,119.5537377,
26/10/2011,99.62811472,
27/10/2011,79.70249177,
28/10/2011,99.62811472,
29/10/2011,69.7396803,
30/10/2011,99.62811472,
31/10/2011,99.62811472,
01/11/2011,179.3306065,
02/11/2011,139.4793606,
03/11/2011,109.5909262,
04/11/2011,99.62811472,
05/11/2011,99.62811472,
06/11/2011,79.70249177,
07/11/2011,99.62811472,
08/11/2011,89.66530325,
09/11/2011,69.7396803,
10/11/2011,89.66530325,
11/11/2011,79.70249177,
12/11/2011,59.77686883,
13/11/2011,69.7396803,
14/11/2011,99.62811472,
15/11/2011,99.62811472,
16/11/2011,79.70249177,
17/11/2011,89.66530325,
18/11/2011,89.66530325,
19/11/2011,79.70249177,
20/11/2011,89.66530325,
21/11/2011,99.62811472,
22/11/2011,59.77686883,
23/11/2011,69.7396803,
24/11/2011,89.66530325,
25/11/2011,119.5537377,
26/11/2011,109.5909262,
27/11/2011,129.5165491,
28/11/2011,89.66530325,
29/11/2011,99.62811472,
30/11/2011,89.66530325,
01/12/2011,79.70249177,
02/12/2011,89.66530325,
03/12/2011,89.66530325,
04/12/2011,109.5909262,
05/12/2011,69.7396803,
06/12/2011,69.7396803,
07/12/2011,69.7396803,
08/12/2011,79.70249177,
09/12/2011,69.7396803,
10/12/2011,59.77686883,
11/12/2011,79.70249177,
12/12/2011,99.62811472,
13/12/2011,79.70249177,
14/12/2011,79.70249177,
15/12/2011,59.77686883,
16/12/2011,59.77686883,
17/12/2011,79.70249177,
18/12/2011,59.77686883,
19/12/2011,59.77686883,
20/12/2011,79.70249177,
21/12/2011,89.66530325,
22/12/2011,89.66530325,
23/12/2011,89.66530325,
24/12/2011,69.7396803,
25/12/2011,99.62811472,
26/12/2011,99.62811472,
27/12/2011,79.70249177,
28/12/2011,79.70249177,
29/12/2011,89.66530325,
30/12/2011,89.66530325,
31/12/2011,79.70249177,
01/01/2012,109.5909262,
02/01/2012,129.5165491,
03/01/2012,89.66530325,
04/01/2012,89.66530325,
05/01/2012,99.62811472,
06/01/2012,119.5537377,
07/01/2012,119.5537377,
08/01/2012,119.5537377,
09/01/2012,130.1555005,
10/01/2012,130.1555005,
11/01/2012,122.0207817,
12/01/2012,109.8187036,
13/01/2012,101.6839848,
14/01/2012,77.27982843,
15/01/2012,101.6839848,
16/01/2012,406.7359391,
17/01/2012,207.435329,
18/01/2012,130.1555005,
19/01/2012,134.2228599,
20/01/2012,134.2228599,
21/01/2012,146.4249381,
22/01/2012,122.0207817,
23/01/2012,81.34718782,
24/01/2012,109.8187036,
25/01/2012,93.549266,
26/01/2012,113.886063,
27/01/2012,134.2228599,
28/01/2012,117.9534223,
29/01/2012,105.7513442,
30/01/2012,109.8187036,
31/01/2012,101.6839848,
01/02/2012,97.61662539,
02/02/2012,101.6839848,
03/02/2012,117.9534223,
04/02/2012,134.2228599,
05/02/2012,81.34718782,
06/02/2012,93.549266,
07/02/2012,117.9534223,
08/02/2012,93.549266,
09/02/2012,122.0207817,
10/02/2012,122.0207817,
11/02/2012,109.8187036,
12/02/2012,113.886063,
13/02/2012,89.48190661,
14/02/2012,81.34718782,
15/02/2012,117.9534223,
16/02/2012,105.7513442,
17/02/2012,97.61662539,
18/02/2012,81.34718782,
19/02/2012,97.61662539,
20/02/2012,89.48190661,
21/02/2012,81.34718782,
22/02/2012,113.886063,
23/02/2012,105.7513442,
24/02/2012,81.34718782,
25/02/2012,89.48190661,
26/02/2012,89.48190661,
27/02/2012,97.61662539,
28/02/2012,85.41454722,
29/02/2012,97.61662539,
01/03/2012,85.41454722,
02/03/2012,134.2228599,
03/03/2012,134.2228599,
04/03/2012,105.7513442,
05/03/2012,89.48190661,
06/03/2012,85.41454722,
07/03/2012,73.21246904,
08/03/2012,73.21246904,
09/03/2012,73.21246904,
10/03/2012,89.48190661,
11/03/2012,89.48190661,
12/03/2012,65.07775026,
13/03/2012,97.61662539,
14/03/2012,97.61662539,
15/03/2012,69.14510965,
16/03/2012,65.07775026,
17/03/2012,89.48190661,
18/03/2012,73.21246904,
19/03/2012,85.41454722,
20/03/2012,93.549266,
21/03/2012,93.549266,
22/03/2012,97.61662539,
23/03/2012,81.34718782,
24/03/2012,97.61662539,
25/03/2012,65.07775026,
26/03/2012,85.41454722,
27/03/2012,73.21246904,
28/03/2012,113.886063,
29/03/2012,73.21246904,
